Identifier 1,period,drought,future climate,facet,Label,i15:0,a15:0,i16:0,16:1w7,16:1w5, 16:0,10Me 16:0,i17:0,a17:0,cy17:0,10Me 17:0,"18:2w6,9",18:1w9 cis,18:1w9 trans,18:1wX, 18:0,10Me 18:0,cy19:0
PLFA_na_bD1,rewetting,drought,control,Drought,natural abundance,0.014491,0.013853,0.014392,0.014388,0.014042,0.014355,0.014031,0.014207,0.014318,0.014525,0.014951,0.014353,0.014334,0.013878,0.012374,0.014024,0.014293,0.01419
PLFA_na_bD2,rewetting,drought,control,Drought,natural abundance,0.014226,0.013722,0.014054,0.014078,0.013773,0.014049,0.013962,0.014219,0.014224,0.014135,0.014159,0.014347,0.014329,0.013671,0.011982,0.013877,0.014133,0.014065
PLFA_na_bD3,rewetting,drought,control,Drought,natural abundance,0.014255,0.013756,0.014377,0.014363,0.014014,0.01428,0.014226,0.014564,0.014491,0.014403,0.014701,0.014164,0.014198,0.013638,0.011982,0.013845,0.01341,0.013947
PLFA_na_bD4,rewetting,drought,control,Drought,natural abundance,0.013977,0.013522,0.01375,0.013768,0.0135,0.013871,0.013616,0.013417,0.013519,0.013684,0.014711,0.013892,0.013859,0.013299,0.01148,0.013633,0.013206,0.013512
PLFA_na_bF1,rewetting,control,future climate,Future Climate,natural abundance,0.014764,0.014195,0.014245,0.01426,0.013997,0.014213,0.014111,0.014124,0.014229,0.014128,0.014449,0.014491,0.014288,0.013798,0.012193,0.014059,0.013763,0.0141
PLFA_na_bF2,rewetting,control,future climate,Future Climate,natural abundance,0.014425,0.013719,0.013965,0.014119,0.013608,0.014084,0.013928,0.013765,0.013656,0.013885,0.013788,0.014544,0.01422,0.013661,0.012653,0.013908,0.013827,0.013984
PLFA_na_bF3,rewetting,control,future climate,Future Climate,natural abundance,0.014403,0.013736,0.014032,0.014054,0.013581,0.014008,0.013749,0.013604,0.013642,0.013866,0.013495,0.014047,0.013997,0.013358,0.011743,0.013714,0.013785,0.013983
PLFA_na_bF4,rewetting,control,future climate,Future Climate,natural abundance,0.014312,0.013886,0.014382,0.014222,0.013991,0.01417,0.014053,0.014158,0.014198,0.014142,0.014161,0.014119,0.014091,0.013538,0.012174,0.013734,0.013811,0.01385
PLFA_na_bFD1,rewetting,drought,future climate,Future Climate + Drought,natural abundance,0.014453,0.013952,0.01472,0.014556,0.014281,0.014361,0.014007,0.013924,0.013995,0.014024,0.013644,0.014333,0.014101,0.01362,0.012114,0.013938,0.013615,0.014103
PLFA_na_bFD2,rewetting,drought,future climate,Future Climate + Drought,natural abundance,0.014411,0.013766,0.014173,0.014091,0.013739,0.013906,0.013827,0.013917,0.014023,0.014147,0.014392,0.013764,0.014115,0.013343,0.011915,0.013655,0.013667,0.014017
PLFA_na_bFD3,rewetting,drought,future climate,Future Climate + Drought,natural abundance,0.014014,0.013421,0.014085,0.013986,0.013628,0.013809,0.013592,0.013678,0.013897,0.013969,0.013834333,0.014042,0.01396,0.013362,0.011804,0.013638,0.013649,0.01389
PLFA_na_bFD4,rewetting,drought,future climate,Future Climate + Drought,natural abundance,0.014058,0.01345,0.013777,0.01375,0.01344,0.013721,0.013886,0.013789,0.013828,0.013792,0.013467,0.013683,0.013949,0.013106,0.011006,0.013474,0.013855,0.013595
